"country code",Country,World region,Survey,Year,MPI,"Headcount ratio: Population in multidimensional poverty","Intensity of deprivation among the poor (A)",Vulnerable to poverty,In severe poverty,Year of the survey,Population 2019,Population 2020,Population share by area,"Population size by area",Number of MPI poor by area,Health ,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
LAO,Lao PDR,East Asia and the Pacific,MICS,2017,0.1459582374,30.8840018044,47.2601440568,23.4842038901,13.1329914087,6997.917,7212.053,7319.399,69.478034602,5085.3745117188,1570.5671386719,21.0225373507,39.764341712,39.2131209373,18.1416921859,2.8808451937,25.6828974591,14.0814462494,11.6688388459,8.9386478791,5.4554109007,3.2570360303,6.1193162458,3.77386901
LSO,Lesotho,Sub-Saharan Africa,MICS,2018,0.1197882196,27.5932608263,43.4121288912,34.2691772454,7.463127582,2198.017,2225.702,2254.1,63.743451395,1436.8411865234,396.4713439941,21.0555255413,17.831787467,61.1126840115,18.5719843805,2.4835412014,10.6733937012,7.1583940776,,11.4765550083,9.6623611771,14.6013962057,13.3145052443,12.057869004
LBR,Liberia,Sub-Saharan Africa,DHS,2020,0.3885661411,75.4197294558,51.5204899227,19.1592507764,39.9414605644,5087.584,4985.289,5087.584,42.551109365,2164.8234863281,1632.7039794922,17.5198301673,28.6724507809,53.8077175617,14.1494644775,3.3703662044,17.8432502402,10.8292006614,10.722289158,10.0713358024,5.2416541841,10.5126048819,9.0843999357,8.1754344543
LBY,Libya,Arab States,PAPFAM,2014,0.0070042948,1.8869392153,37.1198751625,12.9954940417,0.0948850995,6097.764,6569.088,6653.942,12.2093111269,812.4004516602,15.3295030594,46.9578295946,37.854924798,15.1872470975,39.1493735569,7.8084558366,21.2317260181,16.6231980585,0,3.7957704078,6.4121507411,0.9930775372,3.8100799078,0.1761679359
MDG,Madagascar,Sub-Saharan Africa,MICS,2018,0.4358938967,77.3470309021,56.3556081759,13.0122105107,52.8507187056,26846.541,27533.134,28225.177,77.1081529784,21763.912109375,16833.740234375,15.1092648506,33.436909318,51.4538228512,12.8742750023,2.2349894584,21.6247432393,11.8121657336,9.8402005803,9.7417910927,7.7809397395,8.0370531093,8.9303114748,7.1235305698
MWI,Malawi,Sub-Saharan Africa,MICS,2020,0.2571371787,55.1356810608,46.6371637632,28.4237877438,19.9673995625,19377.061,18867.337,19377.061,84.5170144764,16376.9130859375,9029.5224609375,18.1371822953,25.8816480637,55.9811711311,15.5788214202,2.558361158,20.285747891,5.5958998882,11.8627653547,7.5773624219,5.4375129955,11.2422402802,11.0029030929,8.8583854974
MDV,Maldives,South Asia,DHS,2017,0.0031917523,0.9193237816,34.7184786465,6.2839103292,0,472.442,504.508,514.438,63.4498385843,326.4100952148,3.0007655621,74.6995031834,19.8306888342,5.4698057473,45.1044179611,29.5950870427,6.4181520483,13.4125371521,0.7795136254,0.4933857167,0.8038475389,0.1504834849,3.0920919451,0.1504834849
MLI,Mali,Sub-Saharan Africa,DHS,2018,0.4467738864,79.7017891276,56.0556910097,11.1043860284,54.7273873634,19934.298,20567.424,21224.04,76.9422684211,16330.2578125,13015.5078125,19.0407916903,41.300714016,39.658498764,13.8766018167,5.1641895266,20.9840327703,20.3166808662,9.8208245873,7.6230010991,5.2474579289,6.6553236842,9.109813364,1.2020743567
MRT,Mauritania,Sub-Saharan Africa,DHS,2021,0.5004754501,84.8695230553,58.9699849922,8.9762942174,61.8492442753,4614.974,4383.849,4498.604,53.409225282,2402.6694335938,2039.1340332031,16.2619501352,41.3037329912,42.4343168736,13.8623785308,2.3995714262,20.8349740092,20.4687594835,8.3628463552,7.5151933585,5.6282393282,9.0133192063,8.2570214983,3.6576968037
MEX,Mexico,Latin America and the Caribbean,ENSANUT,2020,0.0410372831,9.8773660956,41.5467875568,7.5435747785,2.2061984055,125998.302,125085.311,125998.302,23.1057745544,29112.8828125,2875.5859375,63.1267309189,11.5560010076,25.3172665834,63.1267314093,,5.5293296538,6.0266717953,8.5895766593,4.5924197777,1.1593171559,0.1896081675,7.3315596088,3.4547857723
MDA,Moldova,Europe and Central Asia,MICS,2012,0.0042640701,1.1879803449,35.8934401256,4.9017946752,0,3507.191,3109.491,3084.847,63.7322912797,1966.0437011719,23.356212616,8.2583926618,39.0513598919,52.6902496815,8.2583928113,0,31.7469916379,7.3043663163,10.3157798853,11.5137340771,10.4804358361,1.1300294089,9.2824363992,9.9678336279
MNG,Mongolia,East Asia and the Pacific,MICS,2018,0.0626445509,15.8533469298,39.5150318902,31.2099355201,1.8044801455,3163.991,3232.43,3294.335,32.8424000575,1081.9387207031,171.5234985352,17.6036015153,27.8093189001,54.5870840549,14.5709187141,3.0326826704,19.9907326276,7.8185862602,13.979019863,14.0029761969,10.5538177151,1.9615138149,12.5189576471,1.5707944906
MNE,Montenegro,Europe and Central Asia,MICS,2018,0.0054831,1.3355191738,41.0559435828,3.7223409651,0.1688478433,631.455,630.396,629.048,35.2135107932,221.5098876953,2.9583070278,24.4397610426,49.7399806976,25.8202582598,23.1510995939,1.2886613477,22.767003509,26.9729766166,11.8829323629,2.6839638255,0.4076376451,1.4339286269,7.9925598391,1.4192366335
MAR,Morocco,Arab States,PAPFAM,2018,0.0616719527,14.3433444033,42.9969126755,22.044528578,3.6105305536,35927.511,36304.408,36688.772,38.2158731822,14020.9345703125,2011.0709228516,22.9748591781,45.5999046564,31.4252346754,19.8128916276,3.1619676628,29.6768842543,15.9230212691,4.4491584127,5.4674866107,7.8519271137,2.3636395533,8.6455664901,2.6474570055
MOZ,Mozambique,Sub-Saharan Africa,DHS,2011,0.5116345984,87.7776289046,58.2875847471,9.4968312554,63.4081739164,23760.421,30285.595,31178.239,68.8421053913,21463.755859375,18840.375,17.1129629016,32.8202575445,50.066781044,14.3092889953,2.8036734355,21.0308149589,11.7894419605,9.480325361,8.5566939283,7.8231480226,9.2009436199,9.193510349,5.812159369
MMR,Myanmar,East Asia and the Pacific,DHS,2016,0.2212778495,47.8367739219,46.2568503972,23.6392106947,17.7807563747,51892.349,53040.212,53423.198,73.5013196878,39266.75390625,18783.94921875,17.8829014301,32.380849123,49.7362524271,16.1291471753,1.753754883,24.0843548882,8.2964933471,11.8339484839,8.7112535656,4.3392093493,8.7466967507,11.0270844055,5.0780571514
NAM,Namibia,Sub-Saharan Africa,DHS,2013,0.2808172427,61.1777001362,45.9018959716,22.7095647985,20.2057613124,2204.51,2446.644,2489.098,53.4928442691,1331.4892578125,814.5745239258,30.5302143097,13.3548364043,56.1149537563,27.35747828,3.1727362479,6.8371380485,6.5176989716,11.9968203634,11.1787501124,6.9804418197,11.3357769825,9.7988364038,4.8243227702
NPL,Nepal,South Asia,MICS,2019,0.1190800052,28.1016895875,42.37467815,22.8699413382,8.0210468552,28832.496,28832.496,29348.627,32.6563832519,9584.2001953125,2693.322265625,22.0871120691,33.5585743189,44.3543106318,20.2427940899,1.8443180236,26.284516168,7.2740595571,12.629307428,4.1127478572,1.8850120747,4.7701521304,12.5201584688,8.4369342024
NIC,Nicaragua,Latin America and the Caribbean,DHS,2012,0.1591683646,34.7499129955,45.8039606228,22.1809717723,12.497984162,6030.607,6663.924,6755.895,43.4149945321,2933.0715332031,1019.2398071289,10.834800452,36.1886650324,52.9765367508,9.521024715,1.3137759507,27.9080622645,8.2806033524,12.0405406005,4.7221037236,10.5568430673,8.9065794275,10.0573126158,6.6931542828
NER,Niger,Sub-Saharan Africa,DHS,2012,0.6576116352,97.0194224431,67.7814419685,2.3063716034,84.5107017765,17954.407,23443.393,24333.639,84.2338857863,20497.169921875,19886.236328125,21.172568202,36.8185639381,42.0088678598,15.8801405278,5.2924279067,20.7830721074,16.0354913476,8.1433491299,7.8573420514,5.7541059578,7.7581567492,8.1614770871,4.3344371352
NGA,Nigeria,Sub-Saharan Africa,DHS,2018,0.37192372,65.0648840808,57.1619738203,16.2272127976,41.959847037,198387.623,203304.492,208327.405,55.7395649982,116120.7890625,75553.859375,29.1225224733,29.4558078051,41.4216697216,20.9393738314,8.1831495868,13.6122542245,15.8435544606,9.6380886848,7.8105018102,5.6382149074,7.412172019,7.5343007815,3.3883896938
MKD,North Macedonia,Europe and Central Asia,MICS,2019,0.0014064182,0.3679092429,38.2273136673,2.4028472058,0,2114.176,2114.176,2111.072,36.7836595438,776.5295410156,2.856924057,12.6608908176,61.0238552094,26.3152509928,6.3304456271,6.3304456271,37.2683978901,23.7554585943,14.5329478391,4.5763265802,0.4501942653,2.9473403762,0,3.8084432004
PAK,Pakistan,South Asia,DHS,2018,0.2657376897,49.8211212007,53.3383599704,15.3826538829,30.364977839,219731.479,223293.28,227196.741,63.9306420705,145248.328125,72364.34375,25.8145928383,40.7318979502,33.4535092115,21.7049116312,4.1096822679,21.22898276,19.5029142188,9.4283924584,6.5516796642,2.3694301384,2.2866599796,9.1424895648,3.6748573168
PSE,"Palestine, State of",Arab States,MICS,2020,0.00419672,1.1366194932,36.9228228373,1.5478357571,0.0440125811,5019.401,4909.775,5019.401,14.7018304733,737.9438476563,8.3876132965,55.875658989,36.1506342888,7.9737044871,40.1024762789,15.7731835924,4.3610375719,31.789597595,1.2808473755,2.8863205631,0.4540499233,0,2.5983871263,0.7540999737
PNG,Papua New Guinea,East Asia and the Pacific,DHS,2018,0.2866466208,61.4643781444,46.6362191336,25.5111131523,28.4493392388,9329.227,9542.486,9749.64,88.5253100102,8630.8994140625,5304.9287109375,4.3129708618,29.9697250128,65.7173097134,,4.3129710265,12.5538747232,17.4158499517,11.8800442641,10.726466968,9.5904866805,11.6820409865,11.2298775978,10.6083878017
PRY,Paraguay,Latin America and the Caribbean,MICS,2016,0.0437854782,10.300030118,42.5100486623,13.3402943108,2.440689595,6266.615,6530.026,6618.695,37.8609084564,2505.8979492188,258.1082458496,13.194809854,39.4063413143,47.3988503218,10.8378806695,2.3569297077,25.7851235376,13.621216356,12.678716382,11.0742628652,5.5294155197,3.5059064969,10.4720981777,4.1384502876
PER,Peru,Latin America and the Caribbean,ENDES,2019,0.1037743873,25.7813804753,40.2516798356,23.8891070724,4.7696408451,32824.861,32824.861,33304.756,22.2769703343,7419.2905273438,1912.7955322266,14.3156319857,31.1326354742,54.5517325401,12.4770113164,1.8386199919,18.1507748375,12.9818605868,12.1757947175,11.9569653002,5.7356541646,4.8179615013,13.5176328342,6.3477247495
PHL,Philippines,East Asia and the Pacific,DHS,2017,0.0314756867,7.4128496378,42.4609808555,9.8799010601,1.744850206,106738.501,110380.804,112190.977,55.0851301845,61800.546875,4581.181640625,17.8710266948,31.2744319439,50.8545398712,,17.8710274139,21.6318817657,9.6425507332,12.3475009097,8.1746685881,4.9962932012,6.4577245919,10.4215978212,8.4567549751
RWA,Rwanda,Sub-Saharan Africa,DHS,2020,0.2597728104,54.7547713225,47.4429541205,23.7313849968,22.3198860429,13146.362,12835.028,13146.362,83.1018357494,10924.8681640625,5981.88671875,18.5666695237,26.753526926,54.6798050404,16.396099593,2.1705698244,20.9642532756,5.7892745602,11.6919436415,5.8099078173,8.4943791457,8.979922018,10.8404211889,8.8632289354
LCA,Saint Lucia,Latin America and the Caribbean,MICS,2012,0.007437472,1.97437775,37.6699545083,1.529928397,0,173.124,178.583,179.237,81.1891613943,145.5210113525,2.8731343746,71.6812491417,6.1077140272,22.2110360861,71.6812507086,,6.1077139387,0,2.0209008138,5.2817337279,1.0052567726,2.0509084787,9.2911967786,2.5610387812
WSM,Samoa,East Asia and the Pacific,MICS,2020,0.0268994612,6.8662369276,39.1764244398,14.245747213,0.5976327314,214.929,211.905,214.929,81.3226090672,174.7858734131,12.0012121201,36.8011534214,29.96276021,33.2360863686,29.1393009623,7.6618522725,0.2831414536,29.6796186517,11.1131778521,3.6073724696,0.8705738139,0.8418570316,11.923678829,4.8794266636
STP,Sao Tome and Principe,Sub-Saharan Africa,MICS,2019,0.049522349,12.3651285235,40.0500075195,20.0166026606,1.8450797816,214.599,214.599,218.641,33.6245146179,73.5169754028,9.0904684067,19.3233370781,35.5827599764,45.0939029455,16.551037777,2.7722990348,24.1979415241,11.384816771,11.7026165745,12.7195638108,5.3629819104,7.2993412591,0.5745143604,7.434886978
SEN,Senegal,Sub-Saharan Africa,DHS,2019,0.3893824846,72.8614676243,53.4414824854,16.1198003156,44.2140028327,16000.781,16000.781,16436.12,56.0534966014,9213.01953125,6712.7412109375,19.9382469058,47.3500221968,32.7117294073,16.3985245243,3.5397218479,20.5660198416,26.7840034433,10.0465941732,6.1958621263,3.7058022302,6.2135710576,5.3125352829,1.2373654728
SRB,Serbia,Europe and Central Asia,MICS,2019,0.0010179216,0.2671602604,38.1015353225,3.7354526848,0.0181545396,7401.056,7401.056,7358.005,42.548870489,3130.748046875,8.3641147614,30.9375584126,40.0883406401,28.9741009474,8.8578611155,22.0796985458,20.9811269111,19.107213659,12.8643948056,3.9127546896,3.1826457794,0.9571989618,6.0140945884,2.0430109438
SLE,Sierra Leone,Sub-Saharan Africa,DHS,2019,0.4025329823,77.5128609691,51.9311217861,17.566101333,42.5465315663,8046.828,8046.828,8233.97,58.6448232367,4828.7973632813,3742.9389648438,21.0417345166,24.9427467585,54.0155172348,15.9713326129,5.0704016965,16.6879878623,8.2547588038,10.6828328648,10.1233679532,6.9217395094,10.661070407,8.3560509666,7.2704573235
ZAF,South Africa,Sub-Saharan Africa,DHS,2016,0.0453620927,11.2938152142,40.1654285005,19.1985664958,1.6197474018,56422.274,58087.055,58801.927,41.4361332413,24365.244140625,2751.765625,37.9082947969,11.4173196256,50.6743848324,31.266268175,6.6420282387,9.418672055,1.9986473011,11.7509984975,3.3828791692,10.1893148456,8.0841585584,10.2426151989,7.0244179605
SSD,South Sudan,Sub-Saharan Africa,MICS,2010,0.6148418597,94.6424381834,64.9647104903,4.9191871568,80.5095551238,9714.419,10447.666,10606.227,75.1194720666,7967.341796875,7540.486328125,13.2850304246,40.498071909,46.2168961763,10.0418461139,3.2431846255,20.1638669798,20.3342052413,8.5153888263,8.1971893201,5.6807764233,8.4869425461,8.4552862964,6.8813136272
LKA,Sri Lanka,South Asia,SLDHS,2016,0.0126510921,3.2950692253,38.3940101206,15.8527633464,0.3128682742,21425.494,21649.664,21715.079,83.5063398786,18133.466796875,597.5102539063,32.201859355,24.1460204124,43.6521202326,30.0165282085,2.1853305802,14.8460736744,9.2999476005,13.4285742848,7.177855539,6.4513806762,3.5806836911,7.4196759015,5.5939498437
SDN,Sudan,Arab States,MICS,2014,0.3505282658,64.0256128118,54.7481313145,16.4828350807,40.2797259105,37003.245,43232.093,44440.486,68.9594001062,30645.892578125,19621.220703125,20.0835928321,30.1614373922,49.7549682856,17.096926704,2.9866657051,16.672363827,13.4890748757,8.5548841113,9.1454195103,7.1486093415,8.75370097,10.0820442008,6.0703107544
SUR,Suriname,Latin America and the Caribbean,MICS,2018,0.031558703,8.0269609623,39.315879539,9.4786501716,0.8841021032,593.715,600.301,607.065,26.9323307707,163.4967498779,13.1238203049,13.5574698448,45.472407341,40.9701228142,11.2482597316,2.3092105983,32.5114553327,12.9609523366,6.7157828978,9.5066906335,2.6097721199,5.2051187099,7.1405493023,9.7922083375
TJK,Tajikistan,Europe and Central Asia,DHS,2017,0.0341361704,8.6801597263,39.32666153,24.313821638,0.9410868749,8925.525,9337.003,9543.207,75.5732472583,7212.111328125,626.0227661133,47.359919548,24.9236553907,27.7164250612,35.0747732394,12.2851461364,0.6913506745,24.2323046055,7.1851461125,0.5882071368,7.5965356738,0.202427906,11.54280591,0.601302605
TZA,Tanzania,Sub-Saharan Africa,DHS,2016,0.3517267727,69.2597275423,50.7837361163,22.6610059136,35.6935063194,54401.802,59872.579,61704.518,71.0861520142,43863.3671875,30379.6484375,21.6763287783,22.6209789515,55.7026922703,18.5451389036,3.1311903399,7.3368193743,15.2841597496,10.9219264066,10.4857002101,8.8371728463,10.7809218637,9.600078307,5.076891999
THA,Thailand,East Asia and the Pacific,MICS,2019,0.0030014555,0.8098761967,37.0606710805,8.4146709524,0.0535511278,71307.763,71307.763,71475.664,54.8702515613,39218.875,317.6243286133,38.412797451,44.2474961281,17.3397064209,25.8343326704,12.5784651231,29.8058803673,14.4416146207,7.9577964247,1.9574285661,0.8293665202,0.971360887,2.9070778925,2.7166769281
TLS,Timor-Leste,East Asia and the Pacific,DHS,2016,0.2735132397,58.9039827272,46.433743029,24.0898253494,22.1583757651,1224.562,1280.438,1299.995,73.107393625,950.3924560547,559.8190307617,27.715665102,23.3142092824,48.9701241255,25.6351069049,2.0805586339,12.6809718336,10.6332380257,11.8023790069,8.2787124977,5.0094126872,5.3380968327,10.6599343858,7.8815891917
TGO,Togo,Sub-Saharan Africa,MICS,2017,0.2658719523,54.3860093516,48.8860932269,26.5723574364,23.9994526402,7852.795,8243.094,8442.58,59.6299034015,5034.3022460938,2737.9560546875,19.8650479317,28.1089216471,52.026027441,15.6898642809,4.1751839527,17.6337393307,10.4751838036,11.3360555439,11.0155586657,7.3531726733,9.8390879284,8.1364569177,4.3456969031
TON,Tonga,East Asia and the Pacific,MICS,2019,0.0043163679,1.1315813184,38.1445669035,7.3028903948,0.0317726327,104.951,104.951,105.254,77.2907876854,81.3516464233,0.9205600619,38.2117122412,40.7032489777,21.0850387812,15.1944402567,23.0172723486,6.720726319,33.9825219651,4.2716350328,2.1301216403,0.8885401633,0.9542276953,11.7396959112,1.1008186677
TTO,Trinidad and Tobago,Latin America and the Caribbean,MICS,2011,0.0044489091,1.1518893505,38.6227123628,4.6454318475,0.2301700883,1420.02,1519.955,1518.147,43.1521735535,655.1134033203,7.5461816788,45.6074774265,33.7514460087,20.641079545,19.422295074,26.1851802485,21.8624004138,11.8890448438,0.3032169077,1.7774928782,2.070199714,5.6444251915,7.0967301015,3.749014627
TUN,Tunisia,Arab States,MICS,2018,0.0071356741,1.9107827646,37.3442456134,5.9496278182,0.185606691,11933.041,12049.314,12161.723,31.7271771812,3858.5712890625,73.7289123535,22.4568769336,60.3590548038,17.1840712428,19.7647577571,2.6921188916,38.3000935452,22.0589581111,0.4494443813,5.6984934933,4.8585615176,0.8579393266,1.830836907,3.4887960694
TKM,Turkmenistan,Europe and Central Asia,MICS,2019,0.0009867552,0.2865995657,34.4297506893,0.34812295,0,6158.42,6158.42,6250.438,56.7101810698,3544.634765625,10.1589078903,87.8036797047,9.0118125081,3.1845055521,48.407747175,39.395934324,0,9.011812851,,0,0,0,3.18450565,0
TUV,Tuvalu,East Asia and the Pacific,MICS,2020,0.0091515275,2.3882424985,38.3190883191,12.247397428,0,11.069,10.956,11.069,35.3252829896,3.9101555347,0.0933839977,25.6505578756,43.4944242239,30.8550179005,25.6505576208,0,4.4609665427,39.0334572491,8.1784386617,5.2044609665,0,1.4869888476,13.0111524164,2.9739776952
UGA,Uganda,Sub-Saharan Africa,DHS,2016,0.3215247731,65.0204677603,49.4497785281,23.2447658307,30.0444059505,38748.299,42949.08,44404.611,79.0174364512,35087.38671875,22813.982421875,23.346658051,21.9346553087,54.7186851501,20.32350979,3.0231485036,13.5125068922,8.4221481195,11.1794337148,9.9219239767,8.4085341414,9.9442072872,9.970137265,5.2944503096
UKR,Ukraine,Europe and Central Asia,MICS,2012,0.0016199064,0.4603771969,35.1865048766,1.194315475,0,45406.226,44211.094,43909.666,27.8457095763,12226.9580078125,56.2901268005,63.3075535297,18.3096677065,18.3827772737,,63.3075562956,15.7128663232,2.5968008731,7.578864517,2.5440425213,2.2367371508,0.5363334627,1.8015494735,3.6852493828
VNM,Viet Nam,East Asia and the Pacific,MICS,2021,0.0100889481,2.4999741508,40.3562096678,4.6802513905,0.4762774662,97468.029,95776.716,96648.685,65.8852481937,63677.2265625,1591.9141845703,20.6986710429,39.6464318037,39.6548956633,,20.6986715887,27.9367954323,11.7096366965,11.7285796609,9.9782583333,3.5991824468,0.7897952704,9.1567514374,4.4023291337
YEM,Yemen,Arab States,DHS,2013,0.3191939144,62.044481291,51.4459800088,19.8279700085,33.2360468682,26984.002,31546.691,32284.046,69.51422922,22442.005859375,13924.0263671875,27.8862029314,29.7482073307,42.3655897379,25.0752794507,2.8109247787,11.8086683428,17.9395378118,7.253610684,8.8278288823,6.8923645789,4.8698489006,10.4105795228,4.1113570474
ZMB,Zambia,Sub-Saharan Africa,DHS,2018,0.3236666377,65.5966835857,49.3419209569,23.7666237772,30.9102905775,17835.893,18380.477,18927.715,60.3118532119,11415.6552734375,7488.2915039063,20.0284585357,25.4875808954,54.4839560986,17.3120999558,2.7163587888,9.3599320844,16.127649038,11.22483462,8.8440029786,7.2959301017,10.9954944162,10.2264438072,5.8972542094
ZWE,Zimbabwe,Sub-Saharan Africa,MICS,2019,0.1512638075,35.3468780269,42.7941068555,32.2669671705,9.5450320937,15354.608,15354.608,15669.666,68.9004204836,10796.4658203125,3816.2136230469,22.6532369852,17.2002986073,60.1464629173,18.2421060561,4.4111316447,5.5108400337,11.6894584529,12.896231997,10.8508123032,10.3200313814,9.9098689659,8.5919155463,7.5776036188
